Time (ms),Channel A Voltage (V),Channel B Voltage (V)
7.47250092,-0.00344859,0.0319834
7.47762092,-0.00344859,0.02307199
7.48274092,0.00537126,0.01413007
7.48786092,0.00537126,0.02307199
7.49298092,-0.00344859,0.0319834
7.49810092,0.00537126,0.02307199
7.50322092,-0.00344859,0.02307199
7.50834092,-0.00344859,0.02307199
7.51346092,0.00537126,0.0319834
7.51858092,-0.00344859,0.0319834
7.52370092,-0.00344859,0.0319834
7.52882092,0.00537126,0.02307199
7.53394092,0.00537126,0.02307199
7.53906092,-0.00344859,0.04092532
7.54418092,-0.00344859,0.0319834
7.54930092,0.00537126,0.0319834
7.55442092,0.00537126,0.02307199
7.55954092,0.00537126,0.0319834
7.56466092,-0.00344859,0.04092532
7.56978092,-0.00344859,0.02307199
7.57490092,-0.00344859,0.01413007
7.58002092,0.00537126,0.02307199
7.58514092,0.00537126,0.0319834
7.59026092,0.00537126,0.02307199
7.59538092,-0.00344859,0.02307199
7.60050092,0.00537126,0.0319834
7.60562092,0.00537126,0.0319834
7.61074092,-0.00344859,0.0319834
7.61586092,-0.00344859,0.0319834
7.62098092,-0.00344859,0.02307199
7.62610092,-0.00344859,0.02307199
7.63122092,0.00537126,0.0319834
7.63634092,0.00537126,0.0319834
7.64146092,0.00537126,0.02307199
7.64658092,0.00537126,0.01413007
7.65170092,-0.00344859,0.0319834
7.65682092,-0.00344859,0.0319834
7.66194092,-0.00344859,0.02307199
7.66706092,-0.00344859,0.01413007
7.67218092,-0.00344859,0.02307199
7.67730092,-0.00344859,0.02307199
7.68242092,0.00537126,0.02307199
7.68754092,-0.00344859,0.01413007
7.69266092,0.00537126,0.02307199
7.69778092,-0.00344859,0.0319834
7.70290092,-0.00344859,0.02307199
7.70802092,-0.00344859,0.02307199
7.71314092,-0.00344859,0.02307199
7.71826092,-0.00344859,0.02307199
7.72338092,0.00537126,0.0319834
7.72850092,0.00537126,0.0319834
7.73362092,-0.00344859,0.0319834
7.73874092,0.00537126,0.02307199
7.74386092,0.00537126,0.0319834
7.74898092,-0.00344859,0.04092532
7.75410092,-0.00344859,0.02307199
7.75922092,0.00537126,0.02307199
7.76434092,0.00537126,0.02307199
7.76946092,-0.00344859,0.04092532
7.77458092,-0.00344859,0.02307199
7.77970092,0.00537126,0.01413007
7.78482092,-0.00344859,0.02307199
7.78994092,-0.00344859,0.0319834
7.79506092,-0.00344859,0.0319834
7.80018092,-0.00344859,0.02307199
7.80530092,0.00537126,0.02307199
7.81042092,0.00537126,0.02307199
7.81554092,-0.00344859,0.02307199
7.82066092,0.00537126,0.02307199
7.82578092,-0.00344859,0.02307199
7.83090092,0.00537126,0.02307199
7.83602092,0.00537126,0.02307199
7.84114092,-0.00344859,0.02307199
7.84626092,-0.00344859,0.02307199
7.85138092,-0.00344859,0.01413007
7.85650092,-0.00344859,0.02307199
7.86162092,-0.00344859,0.0319834
7.86674092,-0.00344859,0.0319834
7.87186092,0.00537126,0.01413007
7.87698092,0.00537126,0.02307199
7.88210092,-0.00344859,0.0319834
7.88722092,0.00537126,0.0319834
7.89234092,-0.00344859,0.02307199
7.89746092,-0.00344859,0.02307199
7.90258092,0.00537126,0.02307199
7.90770091,0.00537126,0.02307199
7.91282091,-0.00344859,0.02307199
7.91794091,0.00537126,0.01413007
7.92306091,-0.00344859,0.02307199
7.92818091,0.00537126,0.02307199
7.93330091,-0.00344859,0.02307199
7.93842091,-0.00344859,0.02307199
7.94354091,-0.00344859,0.01413007
7.94866091,0.00537126,0.02307199
7.95378091,-0.00344859,0.0319834
7.95890091,-0.00344859,0.0319834
7.96402091,0.00537126,0.02307199
7.96914091,0.00537126,0.02307199
7.97426091,0.00537126,0.02307199
7.97938091,-0.00344859,0.0319834
7.98450091,0.00537126,0.01413007
7.98962091,0.00537126,0.01413007
7.99474091,-0.00344859,0.02307199
7.99986091,-0.00344859,0.0319834
8.00498091,-0.00344859,0.02307199
8.01010091,0.00537126,0.01413007
8.01522091,-0.00344859,0.02307199
8.02034091,0.00537126,0.02307199
8.02546091,-0.00344859,0.02307199
8.03058091,-0.00344859,0.02307199
8.03570091,0.00537126,0.01413007
8.04082091,0.00537126,0.02307199
8.04594091,-0.00344859,0.0319834
8.05106091,-0.00344859,0.0319834
8.05618091,0.00537126,0.02307199
8.06130091,0.00537126,0.02307199
