Time (ms),Voltage (V)
2.34513908,-0.09698782
2.34769908,-0.09698782
2.35025908,-0.09698782
2.35281908,-0.09698782
2.35537908,-0.09698782
2.35793908,-0.09698782
2.36049908,-0.09698782
2.36305908,-0.09698782
2.36561908,-0.09698782
2.36817908,-0.09698782
2.37073908,-0.09698782
2.37329908,-0.09698782
2.37585908,-0.09698782
2.37841908,-0.09698782
2.38097908,-0.09698782
2.38353908,-0.09698782
2.38609908,-0.09698782
2.38865908,-0.09698782
2.39121908,-0.09698782
2.39377908,-0.1058992
2.39633908,-0.09698782
2.39889908,-0.09698782
2.40145908,-0.09698782
2.40401908,-0.09698782
2.40657908,-0.09698782
2.40913908,-0.09698782
2.41169908,-0.09698782
2.41425908,-0.09698782
2.41681908,-0.09698782
2.41937908,-0.09698782
2.42193908,-0.09698782
2.42449908,-0.09698782
2.42705908,-0.09698782
2.42961908,-0.09698782
2.43217908,-0.09698782
2.43473908,-0.09698782
2.43729908,-0.09698782
2.43985908,-0.09698782
2.44241908,-0.09698782
2.44497908,-0.09698782
2.44753908,-0.09698782
2.45009908,-0.09698782
2.45265908,-0.09698782
2.45521908,-0.09698782
2.45777908,-0.09698782
2.46033908,-0.09698782
2.46289908,-0.09698782
2.46545908,-0.09698782
2.46801908,-0.09698782
2.47057908,-0.09698782
2.47313908,-0.08807642
2.47569908,-0.07913449
2.47825908,-0.08807642
2.48081908,-0.07913449
2.48337908,-0.07913449
2.48593908,-0.08807642
2.48849908,-0.07913449
2.49105908,-0.07913449
2.49361908,-0.07913449
2.49617908,-0.07913449
2.49873908,-0.07913449
2.50129907,-0.08807642
2.50385907,-0.08807642
2.50641907,-0.08807642
2.50897907,-0.08807642
2.51153907,-0.08807642
2.51409907,-0.09698782
2.51665907,-0.08807642
2.51921907,-0.09698782
2.52177907,-0.09698782
2.52433907,-0.08807642
2.52689907,-0.09698782
2.52945907,-0.09698782
2.53201907,-0.08807642
2.53457907,-0.08807642
2.53713907,-0.09698782
2.53969907,-0.09698782
2.54225907,-0.08807642
2.54481907,-0.08807642
2.54737907,-0.08807642
2.54993907,-0.08807642
2.55249907,-0.07913449
2.55505907,-0.07913449
2.55761907,-0.07913449
2.56017907,-0.07913449
2.56273907,-0.07913449
2.56529907,-0.07913449
2.56785907,-0.07913449
2.57041907,-0.07913449
2.57297907,-0.07913449
2.57553907,-0.07913449
2.57809907,-0.07913449
2.58065907,-0.07913449
2.58321907,-0.07913449
2.58577907,-0.07913449
2.58833907,-0.07913449
2.59089907,-0.07913449
2.59345907,-0.07913449
2.59601907,-0.07913449
2.59857907,-0.07913449
2.60113907,-0.07913449
2.60369907,-0.08807642
2.60625907,-0.07913449
2.60881907,-0.07913449
2.61137907,-0.07913449
2.61393907,-0.08807642
2.61649907,-0.09698782
2.61905907,-0.08807642
2.62161907,-0.09698782
2.62417907,-0.09698782
2.62673907,-0.09698782
2.62929907,-0.08807642
2.63185907,-0.08807642
2.63441907,-0.08807642
2.63697907,-0.08807642
2.63953907,-0.08807642
2.64209907,-0.08807642
2.64465907,-0.09698782
2.64721907,-0.08807642
2.64977907,-0.08807642
2.65233907,-0.08807642
2.65489907,-0.08807642
2.65745907,-0.08807642
2.66001907,-0.07913449
2.66257907,-0.07913449
2.66513907,-0.07913449
2.66769907,-0.07913449
2.67025907,-0.07913449
2.67281907,-0.07913449
2.67537907,-0.07913449
2.67793907,-0.07913449
2.68049907,-0.07913449
2.68305907,-0.07913449
2.68561907,-0.07913449
2.68817907,-0.07913449
2.69073907,-0.07913449
2.69329907,-0.07913449
2.69585907,-0.07913449
2.69841907,-0.07913449
2.70097907,-0.07913449
2.70353907,-0.07913449
2.70609907,-0.07913449
2.70865907,-0.07913449
2.71121907,-0.07913449
2.71377907,-0.07913449
2.71633907,-0.07913449
2.71889907,-0.07913449
2.72145907,-0.07913449
2.72401907,-0.07913449
2.72657907,-0.07913449
2.72913907,-0.07913449
2.73169907,-0.07913449
2.73425907,-0.07913449
2.73681907,-0.07913449
2.73937907,-0.07913449
2.74193907,-0.07913449
2.74449907,-0.07913449
2.74705907,-0.07913449
2.74961907,-0.07913449
2.75217907,-0.07913449
2.75473907,-0.07913449
2.75729907,-0.07913449
2.75985907,-0.07913449
2.76241907,-0.07913449
2.76497907,-0.07913449
2.76753907,-0.07913449
2.77009907,-0.07913449
2.77265907,-0.07913449
2.77521907,-0.07913449
2.77777907,-0.07913449
2.78033907,-0.07913449
2.78289907,-0.07913449
2.78545907,-0.07913449
2.78801907,-0.07913449
2.79057907,-0.07913449
2.79313907,-0.07022309
2.79569907,-0.07913449
2.79825907,-0.07022309
2.80081907,-0.07022309
2.80337907,-0.07913449
2.80593907,-0.07913449
2.80849907,-0.07913449
2.81105907,-0.07913449
2.81361907,-0.07022309
2.81617907,-0.07913449
2.81873907,-0.07022309
2.82129907,-0.07022309
2.82385907,-0.07022309
2.82641907,-0.07913449
2.82897907,-0.07022309
